Well,Sample ID,Time (Minutes),RFUs,Gain Setting,Chromatic Settings,Expression Product,Amplicon DNA Template,Energy Solution,Reaction Type,Replicate,System,Reaction Temperature (°C),Performed by,Instrument,Experiment #,lysate_aspirate_height,lysate_aspirate_height_inc,substrates_aspirate_height,substrates_aspirate_height_inc,wax_dispense_volume,wax_dispense_height,wax_new_tip,wax_touch_tip,wax_air_gap,wax_disposal_volume,Assay Date
B21,Sample X10,112,2979,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,10,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B12,Sample X1,114,2885,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,1,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B13,Sample X2,114,2975,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,2,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B14,Sample X3,114,2969,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,3,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B15,Sample X4,114,3088,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,4,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B16,Sample X5,114,3111,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,5,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B17,Sample X6,114,3173,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,6,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B18,Sample X7,114,3019,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,7,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B19,Sample X8,114,3032,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,8,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B20,Sample X9,114,3167,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,9,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B21,Sample X10,114,3002,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,10,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B12,Sample X1,116,2864,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,1,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B13,Sample X2,116,3005,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,2,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B14,Sample X3,116,2947,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,3,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B15,Sample X4,116,3058,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,4,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B16,Sample X5,116,3135,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,5,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B17,Sample X6,116,3186,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,6,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B18,Sample X7,116,3060,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,7,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B19,Sample X8,116,3030,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,8,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B20,Sample X9,116,3150,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,9,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B21,Sample X10,116,2992,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,10,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B12,Sample X1,118,2873,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,1,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B13,Sample X2,118,3005,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,2,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B14,Sample X3,118,2912,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,3,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B15,Sample X4,118,3058,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,4,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B16,Sample X5,118,3132,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,5,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B17,Sample X6,118,3154,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,6,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B18,Sample X7,118,3026,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,7,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B19,Sample X8,118,3015,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,8,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B20,Sample X9,118,3165,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,9,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B21,Sample X10,118,2979,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,10,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B12,Sample X1,120,2864,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,1,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B13,Sample X2,120,2988,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,2,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B14,Sample X3,120,2931,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,3,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B15,Sample X4,120,3075,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,4,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B16,Sample X5,120,3128,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,5,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B17,Sample X6,120,3167,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,6,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B18,Sample X7,120,3064,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,7,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B19,Sample X8,120,3027,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,8,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B20,Sample X9,120,3198,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,9,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B21,Sample X10,120,2943,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,10,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B12,Sample X1,122,2880,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,1,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B13,Sample X2,122,2981,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,2,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B14,Sample X3,122,2935,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,3,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B15,Sample X4,122,3097,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,4,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B16,Sample X5,122,3095,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,5,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B17,Sample X6,122,3180,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,6,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B18,Sample X7,122,3059,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,7,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B19,Sample X8,122,3024,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,8,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B20,Sample X9,122,3205,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,9,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B21,Sample X10,122,2953,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,10,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B12,Sample X1,124,2887,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,1,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B13,Sample X2,124,2976,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,2,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B14,Sample X3,124,2970,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,3,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B15,Sample X4,124,3049,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,4,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B16,Sample X5,124,3103,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,5,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B17,Sample X6,124,3220,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,6,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B18,Sample X7,124,3061,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,7,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B19,Sample X8,124,3094,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,8,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B20,Sample X9,124,3183,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,9,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B21,Sample X10,124,2986,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,10,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B12,Sample X1,126,2873,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,1,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B13,Sample X2,126,3000,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,2,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B14,Sample X3,126,2935,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,3,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B15,Sample X4,126,3085,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,4,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B16,Sample X5,126,3091,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,5,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B17,Sample X6,126,3174,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,6,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B18,Sample X7,126,3024,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,7,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B19,Sample X8,126,3026,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,8,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B20,Sample X9,126,3217,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,9,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B21,Sample X10,126,2949,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,10,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B12,Sample X1,128,2870,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,1,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B13,Sample X2,128,3014,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,2,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B14,Sample X3,128,2971,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,3,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B15,Sample X4,128,3076,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,4,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B16,Sample X5,128,3062,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,5,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B17,Sample X6,128,3177,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,6,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B18,Sample X7,128,3033,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,7,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B19,Sample X8,128,3030,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,8,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B20,Sample X9,128,3163,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,9,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B21,Sample X10,128,2968,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,10,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B12,Sample X1,130,2882,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,1,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B13,Sample X2,130,2990,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,2,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B14,Sample X3,130,2945,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,3,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B15,Sample X4,130,3030,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,4,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B16,Sample X5,130,3122,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,5,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B17,Sample X6,130,3205,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,6,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B18,Sample X7,130,3086,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,7,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B19,Sample X8,130,3034,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,8,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B20,Sample X9,130,3186,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,9,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B21,Sample X10,130,2992,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,10,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B12,Sample X1,132,2890,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,1,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B13,Sample X2,132,3021,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,2,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B14,Sample X3,132,2944,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,3,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B15,Sample X4,132,3015,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,4,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B16,Sample X5,132,3119,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,5,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B17,Sample X6,132,3195,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,6,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B18,Sample X7,132,3048,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,7,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B19,Sample X8,132,3031,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,8,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B20,Sample X9,132,3169,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,9,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B21,Sample X10,132,2979,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,10,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B12,Sample X1,134,2885,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,1,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B13,Sample X2,134,3001,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,2,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B14,Sample X3,134,2961,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,3,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B15,Sample X4,134,3081,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,4,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B16,Sample X5,134,3067,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,5,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B17,Sample X6,134,3182,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,6,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B18,Sample X7,134,3043,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,7,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B19,Sample X8,134,3031,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,8,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B20,Sample X9,134,3179,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,9,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B21,Sample X10,134,2966,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,10,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B12,Sample X1,136,2866,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,1,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
B13,Sample X2,136,3002,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,2,Michael_Lysate_001,30,AP & MJS,BMG POLARstar Omega,1,4.5,0.4,9,0.4,35,5,never,True,20,30,2022-01-06
